_id,Language,Box_office,Country,Rated,Poster,Awards,Director,Released,Writer,imdbVotes,Runtime,Response,imdbRating,Title,Genre,Actors,Type,Metascore
56fb860e71a0651b0c306f56,English,"101,500,000",USA,R,tt0081562.jpg,1 nomination.,Sidney Poitier,12 Dec 1980,Bruce Jay Friedman,"17,705",111 min,True,6.8,Stir Crazy,"Comedy, Crime","Gene Wilder, Richard Pryor, Georg Stanford Brown, JoBeth Williams",movie,50
56fb860e71a0651b0c306f57,English,"83,400,000",USA,PG,tt0080339.jpg,Nominated for 1 Golden Globe. Another 2 wins & 6 nominations.,"Jim Abrahams, David Zucker, Jerry Zucker",02 Jul 1980,"Jim Abrahams (written for the screen by), David Zucker (written for the screen by), Jerry Zucker (written for the screen by)","154,994",88 min,True,7.8,Airplane!,Comedy,"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty",movie,N/A
56fb860e71a0651b0c306f58,English,,USA,PG,tt0080377.jpg,1 win.,Buddy Van Horn,17 Dec 1980,"Jeremy Joe Kronsberg (characters), Stanford Sherman","12,639",116 min,True,6.0,Any Which Way You Can,"Action, Comedy","Clint Eastwood, Sondra Locke, Geoffrey Lewis, William Smith",movie,N/A
56fb860e71a0651b0c306f59,English,"69,800,000",USA,R,tt0081375.jpg,Nominated for 3 Oscars. Another 1 win & 3 nominations.,Howard Zieff,10 Oct 1980,"Nancy Meyers, Charles Shyer, Harvey Miller","17,591",109 min,True,6.1,Private Benjamin,"Comedy, War","Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber",movie,N/A
56fb860e71a0651b0c306f5a,English,"79,900,000",USA,PG,tt0080549.jpg,Won 1 Oscar. Another 8 wins & 13 nominations.,Michael Apted,07 Mar 1980,"Thomas Rickman (screenplay), Loretta Lynn (autobiography), George Vecsey (autobiography)","12,692",124 min,True,7.5,Coal Miner's Daughter,"Biography, Drama, Music","Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens",movie,N/A
56fb860e71a0651b0c306f5b,"English, Spanish","66,100,000",USA,PG,tt0081529.jpg,1 win & 4 nominations.,Hal Needham,15 Aug 1980,"Hal Needham (characters created by), Robert L. Levy (characters created by), Jerry Belson (screenplay), Brock Yates (screenplay), Michael Kane (story)","10,818",100 min,True,5.1,Smokey and the Bandit II,"Action, Comedy","Burt Reynolds, Jackie Gleason, Jerry Reed, Dom DeLuise",movie,N/A
56fb860e71a0651b0c306f5c,English,,USA,R,tt0080453.jpg,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,Randal Kleiser,02 Jul 1980,"Henry De Vere Stacpoole (novel), Douglas Day Stewart","48,868",104 min,True,5.7,The Blue Lagoon,"Adventure, Drama, Romance","Brooke Shields, Christopher Atkins, Leo McKern, William Daniels",movie,N/A
56fb860e71a0651b0c306f5d,English,"54,200,000",USA,R,tt0080455.jpg,1 win.,John Landis,20 Jun 1980,"Dan Aykroyd, John Landis","138,196",133 min,True,7.9,The Blues Brothers,"Action, Comedy, Crime","John Belushi, Dan Aykroyd, James Brown, Cab Calloway",movie,N/A
56fb860e71a0651b0c306f5e,English,"54,800,000",USA,R,tt0081283.jpg,Won 4 Oscars. Another 15 wins & 14 nominations.,Robert Redford,27 Feb 1981,"Judith Guest (novel), Alvin Sargent (screenplay)","34,021",124 min,True,7.8,Ordinary People,Drama,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",movie,85
56fb860e71a0651b0c306f5f,English,"50,000,000",USA,PG,tt0081353.jpg,3 wins & 4 nominations.,Robert Altman,12 Dec 1980,"Jules Feiffer (screenplay), E.C. Segar (based on characters by)","23,315",114 min,True,5.2,Popeye,"Adventure, Comedy, Family","Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley",movie,48
56fb860e71a0651b0c306f60,English,,USA,PG,tt0081696.jpg,Nominated for 2 Golden Globes. Another 4 nominations.,James Bridges,06 Jun 1980,"Aaron Latham (story), James Bridges (screenplay), Aaron Latham (screenplay)","9,810",132 min,True,6.2,Urban Cowboy,"Drama, Romance, Western","John Travolta, Debra Winger, Scott Glenn, Madolyn Smith Osborne",movie,N/A
56fb860e71a0651b0c306f61,English,,"USA, UK",R,tt0081505.jpg,3 wins & 5 nominations.,Stanley Kubrick,23 May 1980,"Stephen King (novel), Stanley Kubrick (screenplay), Diane Johnson (screenplay)","584,323",146 min,True,8.4,The Shining,"Drama, Horror","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",movie,61
56fb860e71a0651b0c306f62,"English, Spanish",,USA,PG,tt0081480.jpg,1 nomination.,Jay Sandrich,19 Dec 1980,Neil Simon,"6,455",100 min,True,6.7,Seems Like Old Times,"Comedy, Romance","Goldie Hawn, Chevy Chase, Charles Grodin, Robert Guillaume",movie,N/A
56fb860e71a0651b0c306f63,English,,USA,R,tt0080520.jpg,1 nomination.,Tommy Chong,18 Jul 1980,"Tommy Chong, Cheech Marin","8,777",99 min,True,6.1,Cheech and Chong's Next Movie,"Comedy, Crime, Sci-Fi","Cheech Marin, Tommy Chong, Evelyn Guerrero, Betty Kennedy",movie,N/A
56fb860e71a0651b0c306f64,English,"39,800,000",USA,R,tt0080487.jpg,1 nomination.,Harold Ramis,25 Jul 1980,"Brian Doyle-Murray, Harold Ramis, Douglas Kenney","79,437",98 min,True,7.4,Caddyshack,"Comedy, Sport","Chevy Chase, Rodney Dangerfield, Ted Knight, Michael O'Keefe",movie,N/A
56fb860e71a0651b0c306f65,English,"37,100,000",USA,R,tt0080474.jpg,Nominated for 1 Oscar. Another 1 win.,Stuart Rosenberg,20 Jun 1980,"W.D. Richter (screenplay), W.D. Richter (story), Arthur A. Ross (story), Thomas O. Murton (suggested by), Joe Hyams (suggested by)","11,235",131 min,True,7.1,Brubaker,Drama,"Robert Redford, Yaphet Kotto, Jane Alexander, Murray Hamilton",movie,N/A
56fb860e71a0651b0c306f66,English,,USA,R,tt0081060.jpg,1 nomination.,Ron Maxwell,21 Mar 1980,"Kimi Peck (screenplay), Dalene Young (screenplay), Kimi Peck (story)","3,701",96 min,True,6.4,Little Darlings,"Comedy, Drama","Tatum O'Neal, Kristy McNichol, Armand Assante, Matt Dillon",movie,N/A
56fb860e71a0651b0c306f67,English,"31,899,000",USA,X,tt0080661.jpg,Nominated for 1 Golden Globe. Another 1 win & 9 nominations.,Brian De Palma,25 Jul 1980,Brian De Palma,"22,959",105 min,True,7.1,Dressed to Kill,"Mystery, Thriller","Michael Caine, Angie Dickinson, Nancy Allen, Keith Gordon",movie,N/A
56fb860e71a0651b0c306f68,English,"27,118,000",USA,PG,tt0080948.jpg,Nominated for 3 Golden Globes. Another 3 wins & 7 nominations.,Richard Fleischer,19 Dec 1980,"Samson Raphaelson (play), Herbert Baker (screenplay), Stephen H. Foreman (adaptation)","2,881",115 min,True,5.7,The Jazz Singer,"Drama, Music, Romance","Neil Diamond, Laurence Olivier, Lucie Arnaz, Catlin Adams",movie,N/A
