Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
Stir Crazy,"Comedy, Crime","28447         Gene Wilder
54101       Richard Pryor
61881     JoBeth Williams
65874         Lee Purcell
72845     Craig T. Nelson
80559      Jonathan Banks
90443        Barry Corbin
113295       Mickey Jones
Name: Actor, dtype: object",['Sidney Poitier'],Bruce Jay Friedman,English,"101,500,000",USA,12 Dec 1980,111 min,6.8,1 nomination.,tt0081562.jpg
Airplane!,Comedy,"23169          Leslie Nielsen
34250           Lloyd Bridges
44443             Robert Hays
80558          Jonathan Banks
82407     Barbara Billingsley
85556          Joyce Bulifant
104179           Peter Graves
105904          Julie Hagerty
109836             James Hong
111446          Gregory Itzin
136874         Nicholas Pryor
147909           Robert Stack
157027            Jill Whelan
Name: Actor, dtype: object","['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","Jim Abrahams (written for the screen by), David Zucker (written for the screen by), Jerry Zucker (written for the screen by)",English,"83,400,000",USA,02 Jul 1980,88 min,7.8,Nominated for 1 Golden Globe. Another 2 wins & 6 nominations.,tt0080339.jpg
Private Benjamin,"Comedy, War","18320           Goldie Hawn
19949        Sally Kirkland
30278        Armand Assante
34558         Albert Brooks
58360            P.J. Soles
58649    Harry Dean Stanton
72846       Craig T. Nelson
73473        Mary Kay Place
84581        Eileen Brennan
Name: Actor, dtype: object",['Howard Zieff'],"Nancy Meyers, Charles Shyer, Harvey Miller",English,"69,800,000",USA,10 Oct 1980,109 min,6.1,Nominated for 3 Oscars. Another 1 win & 3 nominations.,tt0081375.jpg
Coal Miner's Daughter,"Biography, Drama, Music","7286        Tommy Lee Jones
14563      Beverly D'Angelo
26716          Sissy Spacek
142829    William Sanderson
Name: Actor, dtype: object",['Michael Apted'],"Thomas Rickman (screenplay), Loretta Lynn (autobiography), George Vecsey (autobiography)",English,"79,900,000",USA,07 Mar 1980,124 min,7.5,Won 1 Oscar. Another 8 wins & 13 nominations.,tt0080549.jpg
Smokey and the Bandit II,"Action, Comedy","16478        Sally Field
25059      Burt Reynolds
38767        Dom DeLuise
42663     Jackie Gleason
78494      John Anderson
108182        Mike Henry
158299     Paul Williams
Name: Actor, dtype: object",['Hal Needham'],"Hal Needham (characters created by), Robert L. Levy (characters created by), Jerry Belson (screenplay), Brock Yates (screenplay), Michael Kane (story)","English, Spanish","66,100,000",USA,15 Aug 1980,100 min,5.1,1 win & 4 nominations.,tt0081529.jpg
The Blues Brothers,"Action, Comedy, Crime","128           John Belushi
4088           Dan Aykroyd
9905      Steven Spielberg
16623        Carrie Fisher
20246          John Landis
23504             Frank Oz
24988         Paul Reubens
35281           John Candy
51414                Mr. T
64970         Henry Gibson
79739          James Avery
100434     Aretha Franklin
100613    Kathleen Freeman
130134      Charles Napier
158342     Steven Williams
Name: Actor, dtype: object",['John Landis'],"Dan Aykroyd, John Landis",English,"54,200,000",USA,20 Jun 1980,133 min,7.9,1 win.,tt0080455.jpg
Ordinary People,Drama,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']",['Robert Redford'],"Judith Guest (novel), Alvin Sargent (screenplay)",English,"54,800,000",USA,27 Feb 1981,124 min,7.8,Won 4 Oscars. Another 15 wins & 14 nominations.,tt0081283.jpg
Popeye,"Adventure, Comedy, Family","10673     Robin Williams
40084     Shelley Duvall
41865       Dennis Franz
45592         Linda Hunt
61024        Ray Walston
79662         Alan Autry
95714        Paul Dooley
111340        Bill Irwin
Name: Actor, dtype: object",['Robert Altman'],"Jules Feiffer (screenplay), E.C. Segar (based on characters by)",English,"50,000,000",USA,12 Dec 1980,114 min,5.2,3 wins & 4 nominations.,tt0081353.jpg
Caddyshack,"Comedy, Sport","8364             Bill Murray
13823            Chevy Chase
38116     Rodney Dangerfield
51827        Michael O'Keefe
96064     Brian Doyle-Murray
109506         Sarah Holcomb
115714            Ted Knight
128438          Cindy Morgan
Name: Actor, dtype: object",['Harold Ramis'],"Brian Doyle-Murray, Harold Ramis, Douglas Kenney",English,"39,800,000",USA,25 Jul 1980,98 min,7.4,1 nomination.,tt0080487.jpg
Brubaker,Drama,"6301       Morgan Freeman
24695      Robert Redford
29384      Jane Alexander
34340     Wilford Brimley
46821         David Keith
47502        Yaphet Kotto
60979      M. Emmet Walsh
101996       Rob Garrison
106279    Murray Hamilton
125129     Everett McGill
147740        Joe Spinell
Name: Actor, dtype: object",['Stuart Rosenberg'],"W.D. Richter (screenplay), W.D. Richter (story), Arthur A. Ross (story), Thomas O. Murton (suggested by), Joe Hyams (suggested by)",English,"37,100,000",USA,20 Jun 1980,131 min,7.1,Nominated for 1 Oscar. Another 1 win.,tt0080474.jpg
Dressed to Kill,"Mystery, Thriller","11149         Nancy Allen
13433       Michael Caine
39292     Angie Dickinson
41864        Dennis Franz
103544       Keith Gordon
123091      Mark Margolis
Name: Actor, dtype: object",['Brian De Palma'],Brian De Palma,English,"31,899,000",USA,25 Jul 1980,105 min,7.1,Nominated for 1 Golden Globe. Another 1 win & 9 nominations.,tt0080661.jpg
The Jazz Singer,"Drama, Music, Romance","2560     Laurence Olivier
45446        Ernie Hudson
46304         Brion James
79114         Lucie Arnaz
Name: Actor, dtype: object",['Richard Fleischer'],"Samson Raphaelson (play), Herbert Baker (screenplay), Stephen H. Foreman (adaptation)",English,"27,118,000",USA,19 Dec 1980,115 min,5.7,Nominated for 3 Golden Globes. Another 3 wins & 7 nominations.,tt0080948.jpg
Raging Bull,"Biography, Drama, Sport","5517       Robert De Niro
9389      Martin Scorsese
23981           Joe Pesci
51240      Cathy Moriarty
60386       John Turturro
119899           Tony Lip
154133      Frank Vincent
Name: Actor, dtype: object",['Martin Scorsese'],"Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)",English,"45,250",USA,19 Dec 1980,129 min,8.3,Won 2 Oscars. Another 23 wins & 24 nominations.,tt0081398.jpg
Xanadu,"Fantasy, Musical, Romance","1565              Gene Kelly
23112     Olivia Newton-John
32832        Sandahl Bergman
49722           Joe Mantegna
81262           Michael Beck
110950    Wilfrid Hyde-White
146369          James Sloyan
Name: Actor, dtype: object",['Robert Greenwald'],"Richard Christian Danus, Marc Reid Rubel",English,"10,200,000",USA,08 Aug 1980,96 min,5.0,1 win & 9 nominations.,tt0081777.jpg
The Fog,"Fantasy, Horror","4301     Adrienne Barbeau
4842       John Carpenter
5298     Jamie Lee Curtis
45045        Hal Holbrook
48518         Janet Leigh
Name: Actor, dtype: object",['John Carpenter'],"John Carpenter, Debra Hill",English,"21,378,000",USA,08 Feb 1980,89 min,6.8,1 win & 2 nominations.,tt0080749.jpg
Altered States,"Horror, Sci-Fi, Thriller","4351        Drew Barrymore
19170         William Hurt
30905          Bob Balaban
63020          Blair Brown
102167       George Gaynes
117400    John Larroquette
Name: Actor, dtype: object",['Ken Russell'],"Paddy Chayefsky (written for the screen by), Paddy Chayefsky (novel)","English, Spanish","25,000,000",USA,25 Dec 1980,102 min,6.9,Nominated for 2 Oscars. Another 1 win & 5 nominations.,tt0080360.jpg
The Octagon,"Action, Drama, Romance","45445      Ernie Hudson
51655      Chuck Norris
60497     Lee Van Cleef
109057       Art Hindle
155048    Tracey Walter
Name: Actor, dtype: object",['Eric Karson'],"Paul Aaron (story), Leigh Chapman (screenplay), Leigh Chapman (story)",English,"18,971,000",USA,15 Aug 1980,103 min,5.0,,tt0081259.jpg
When Time Ran Out...,"Action, Adventure, Drama","1455         William Holden
2377            Paul Newman
12579     Jacqueline Bisset
12842       Ernest Borgnine
13498       Barbara Carrera
51286            Pat Morita
106233       Veronica Hamel
126512     Burgess Meredith
Name: Actor, dtype: object",['James Goldstone'],Gordon Thomas (based on the novel \,English,"1,700,000","Canada, USA",28 Mar 1980,121 min,4.3,,tt0081747.jpg
Heaven's Gate,"Adventure, Drama, Western","13019           Jeff Bridges
14749           Willem Dafoe
15646            Brad Dourif
19079              John Hurt
25807          Mickey Rourke
28182     Christopher Walken
37158          Joseph Cotten
45748       Isabelle Huppert
47577     Kris Kristofferson
52778          Sam Peckinpah
61223          Sam Waterston
76727             Tom Noonan
119076          Anna Thomson
119332        Geoffrey Lewis
123950         Richard Masur
132277         Terry O'Quinn
Name: Actor, dtype: object",['Michael Cimino'],Michael Cimino,"English, Russian, French, Polish, German","1,500,000",USA,19 Nov 1980,325 min,6.7,Nominated for 1 Oscar. Another 2 wins & 8 nominations.,tt0080855.jpg
Raiders of the Lost Ark,"Action, Adventure","6130         Harrison Ford
11122          Karen Allen
22709        Alfred Molina
40587      Denholm Elliott
100761        Paul Freeman
138764    John Rhys-Davies
139631           Pat Roach
156451        Frank Welker
Name: Actor, dtype: object",['Steven Spielberg'],"Lawrence Kasdan (screenplay), George Lucas (story), Philip Kaufman (story)","English, German, Hebrew, Spanish, Arabic, Nepali","242,374,454",USA,12 Jun 1981,115 min,8.5,Won 4 Oscars. Another 29 wins & 23 nominations.,tt0082971.jpg
On Golden Pond,Drama,"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda', 'Doug McKeon']",['Mark Rydell'],"Ernest Thompson (screenplay), Ernest Thompson (based on his play)",English,"119,285,432","UK, USA",12 Feb 1982,109 min,7.7,Won 3 Oscars. Another 11 wins & 23 nominations.,tt0082846.jpg
Arthur,"Comedy, Romance","1057            John Gielgud
51052           Dudley Moore
102931          Paul Gleason
120914       Marcella Lowery
123090         Mark Margolis
127488         Liza Minnelli
147129    Phyllis Somerville
151534      Lawrence Tierney
Name: Actor, dtype: object",['Steve Gordon'],Steve Gordon,English,"95,461,682",USA,17 Jul 1981,97 min,6.9,Won 2 Oscars. Another 9 wins & 6 nominations.,tt0082031.jpg
Stripes,"Action, Comedy, War","8363           Bill Murray
8630           Bill Paxton
24573         Dennis Quaid
24667         Harold Ramis
28834           Sean Young
35279           John Candy
55199       Judge Reinhold
58358           P.J. Soles
85981     Timothy Busfield
95031           John Diehl
102652         Donald Gibb
117398    John Larroquette
132294        Warren Oates
Name: Actor, dtype: object",['Ivan Reitman'],"Len Blum, Daniel Goldberg, Harold Ramis","English, Russian, Polish","85,300,000",USA,26 Jun 1981,106 min,6.9,,tt0083131.jpg
The Cannonball Run,"Action, Comedy, Sport","4300      Adrienne Barbeau
13697          Jackie Chan
16399       Farrah Fawcett
22736          Roger Moore
25056        Burt Reynolds
38766          Dom DeLuise
40357            Jack Elam
41467          Peter Fonda
49811          Dean Martin
79753          Rick Aviles
98627           Jamie Farr
99388         John Fiedler
134923     Valerie Perrine
Name: Actor, dtype: object",['Hal Needham'],Brock Yates,"English, Cantonese, Japanese, Arabic","59,900,000","USA, Hong Kong",19 Jun 1981,95 min,6.1,1 win & 2 nominations.,tt0082136.jpg
Chariots of Fire,"Biography, Drama, Sport","['Nicholas Farrell', 'Nigel Havers', 'Ian Charleson', 'Ben Cross']",['Hugh Hudson'],Colin Welland (original screenplay),"English, French","58,800,000",UK,09 Apr 1982,125 min,7.3,Won 4 Oscars. Another 14 wins & 19 nominations.,tt0082158.jpg
For Your Eyes Only,"Action, Adventure, Thriller","19494     Lynn-Holly Johnson
22735            Roger Moore
33863         Carole Bouquet
38099          Charles Dance
65030          Julian Glover
151904                 Topol
Name: Actor, dtype: object",['John Glen'],"Richard Maibaum (screenplay), Michael G. Wilson (screenplay)","English, Greek, Italian","62,300,000",UK,26 Jun 1981,127 min,6.8,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,tt0082398.jpg
Time Bandits,"Adventure, Comedy, Fantasy","3771            John Cleese
5062           Sean Connery
18813              Ian Holm
34423         Jim Broadbent
40082        Shelley Duvall
44681     Katherine Helmond
52188         Michael Palin
61176          David Warner
112096             Tony Jay
153566        Peter Vaughan
Name: Actor, dtype: object",['Terry Gilliam'],"Michael Palin, Terry Gilliam",English,"42,365,600",UK,06 Nov 1981,110 min,7.0,1 win & 8 nominations.,tt0081633.jpg
Absence of Malice,"Drama, Romance, Thriller","2375         Paul Newman
16476        Sally Field
30902        Bob Balaban
34339    Wilford Brimley
95189     Melinda Dillon
Name: Actor, dtype: object",['Sydney Pollack'],Kurt Luedtke,"English, Spanish","40,700,000",USA,18 Dec 1981,116 min,6.9,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,tt0081974.jpg
